Timestamp,E_plus_445LVU_HS--o-_Avg1,E_plus_445LVU_HS--u-_Avg1,E_plus_413TU_HSS-m-_Avg1
2023-08-12 04:10:00+00:00,-8.9983931177,-8.5231117968,22.9307880402
2023-08-12 04:20:00+00:00,-8.9479497007,-8.4956635598,22.9286785126
2023-08-12 04:30:00+00:00,-8.9048048927,-8.4771537853,22.9263553619
2023-08-12 04:40:00+00:00,-8.8859024567,-8.4772600223,22.923948288
2023-08-12 04:50:00+00:00,-8.8636048077,-8.4744375963,22.9213371277
2023-08-12 05:00:00+00:00,-8.8139928882,-8.4498025473,22.9186401367
2023-08-12 05:10:00+00:00,-8.8125562707,-8.4646122083,22.9158401489
2023-08-12 05:20:00+00:00,-8.7713885342,-8.4458252783,22.9130802155
2023-08-12 05:30:00+00:00,-8.7498807962,-8.4407947998,22.9104595184
2023-08-12 05:40:00+00:00,-8.7339301337,-8.4435895118,22.9079093933
2023-08-12 05:50:00+00:00,-8.7252180332,-8.4473727673,22.9057178497
2023-08-12 06:00:00+00:00,-8.6868357707,-8.4242205258,22.9040622711
2023-08-12 06:10:00+00:00,-8.6858241322,-8.4296759988,22.9029903412
2023-08-12 06:20:00+00:00,-8.6974602922,-8.4433770223,22.9028606415
2023-08-12 06:30:00+00:00,-8.6855053902,-8.4399864128,22.9036426544
2023-08-12 06:40:00+00:00,-8.7119235127,-8.4638084403,22.905292511
2023-08-12 06:50:00+00:00,-8.7136465237,-8.4714350138,22.9083957672
2023-08-12 07:00:00+00:00,-8.7029619552,-8.4653097393,22.912727356
2023-08-12 07:10:00+00:00,-8.7305302862,-8.4934786023,22.9177646637
2023-08-12 07:20:00+00:00,-8.7309506462,-8.4955942593,22.9233474731
2023-08-12 07:30:00+00:00,-8.7456910377,-8.5091520783,22.9294338226
2023-08-12 07:40:00+00:00,-8.7420047812,-8.5082605493,22.9359664917
2023-08-12 07:50:00+00:00,-8.7537425747,-8.5137622123,22.9426498413
2023-08-12 08:00:00+00:00,-8.7976449762,-8.5505092093,22.9496459961
2023-08-12 08:10:00+00:00,-8.8240815747,-8.5670834833,22.9567584991
